Fecha de captura,Level A,Description level A,Level B,Description level B,Level C,Description level C,Test Function,Configuración,Primary Measurement,Sub Measurement 1,Sub Measurement 2,Sub Measurement 3,Sub Measurement 4,Sub Measurement 5,Sub Measurement 6,Remark,Notas,Activo,Orden de trabajo,ID de usuario,Número de modelo,Nombre de la herramienta,Número de serie
31 dic 1969 21:04:09,1,,2,,6,,Prueba de continuidad,N-PE,0.30 ohm,,,,,,,,,No asignado,,bernardoantoniod@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:04:09,1,,2,,6,,Prueba de continuidad,N-PE,0.30 ohm,,,,,,,,,No asignado,,bernardoantoniod@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:04:09,1,,2,,6,,Prueba de continuidad,L-PE,0.27 ohm,,,,,,,,,No asignado,,bernardoantoniod@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:04:09,1,,2,,6,,Prueba de continuidad,L-PE,0.27 ohm,,,,,,,,,No asignado,,bernardoantoniod@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:04:09,1,,2,,6,,Prueba de continuidad,L-N,0.29 ohm,,,,,,,,,No asignado,,bernardoantoniod@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:04:09,1,,2,,6,,Prueba de continuidad,L-N,0.30 ohm,,,,,,,,,No asignado,,bernardoantoniod@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:04:09,1,,2,,6,,Prueba de continuidad,N-PE,0.19 ohm,,,,,,,,,No asignado,,bernardoantoniod@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:04:09,1,,2,,6,,Prueba de continuidad,N-PE,0.19 ohm,,,,,,,,,No asignado,,bernardoantoniod@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:04:09,1,,2,,6,,Prueba de continuidad,L-PE,0.16 ohm,,,,,,,,,No asignado,,bernardoantoniod@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:04:09,1,,2,,6,,Prueba de continuidad,L-PE,0.17 ohm,,,,,,,,,No asignado,,bernardoantoniod@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:04:09,1,,2,,6,,Prueba de continuidad,L-N,0.19 ohm,,,,,,,,,No asignado,,bernardoantoniod@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:04:09,1,,2,,6,,Prueba de continuidad,L-N,0.20 ohm,,,,,,,,,No asignado,,bernardoantoniod@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:04:09,1,,2,,5,,Prueba de continuidad,N-PE,0.36 ohm,,,,,,,,,No asignado,,bernardoantoniod@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:04:09,1,,2,,5,,Prueba de continuidad,N-PE,0.36 ohm,,,,,,,,,No asignado,,bernardoantoniod@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:04:09,1,,2,,5,,Prueba de continuidad,L-PE,0.34 ohm,,,,,,,,,No asignado,,bernardoantoniod@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:04:09,1,,2,,5,,Prueba de continuidad,L-PE,0.34 ohm,,,,,,,,,No asignado,,bernardoantoniod@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:04:09,1,,2,,5,,Prueba de continuidad,L-N,0.37 ohm,,,,,,,,,No asignado,,bernardoantoniod@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:04:09,1,,2,,5,,Prueba de continuidad,L-N,0.37 ohm,,,,,,,,,No asignado,,bernardoantoniod@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:04:09,1,,2,,5,,Prueba de continuidad,N-PE,0.31 ohm,,,,,,,,,No asignado,,bernardoantoniod@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:04:09,1,,2,,5,,Prueba de continuidad,N-PE,0.31 ohm,,,,,,,,,No asignado,,bernardoantoniod@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:04:09,1,,2,,5,,Prueba de continuidad,L-PE,0.29 ohm,,,,,,,,,No asignado,,bernardoantoniod@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:04:09,1,,2,,5,,Prueba de continuidad,L-PE,0.29 ohm,,,,,,,,,No asignado,,bernardoantoniod@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:04:09,1,,2,,5,,Prueba de continuidad,L-N,0.31 ohm,,,,,,,,,No asignado,,bernardoantoniod@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:04:09,1,,2,,5,,Prueba de continuidad,L-N,0.32 ohm,,,,,,,,,No asignado,,bernardoantoniod@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:04:09,1,,2,,4,,Prueba de continuidad,N-PE,0.31 ohm,,,,,,,,,No asignado,,bernardoantoniod@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:04:09,1,,2,,4,,Prueba de continuidad,N-PE,0.31 ohm,,,,,,,,,No asignado,,bernardoantoniod@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:04:09,1,,2,,4,,Prueba de continuidad,L-PE,0.29 ohm,,,,,,,,,No asignado,,bernardoantoniod@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:04:09,1,,2,,4,,Prueba de continuidad,L-PE,0.29 ohm,,,,,,,,,No asignado,,bernardoantoniod@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:04:09,1,,2,,4,,Prueba de continuidad,L-N,0.32 ohm,,,,,,,,,No asignado,,bernardoantoniod@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:04:09,1,,2,,4,,Prueba de continuidad,L-N,0.32 ohm,,,,,,,,,No asignado,,bernardoantoniod@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
