Fecha de captura,Level A,Description level A,Level B,Description level B,Level C,Description level C,Test Function,Configuración,Primary Measurement,Sub Measurement 1,Sub Measurement 2,Sub Measurement 3,Sub Measurement 4,Sub Measurement 5,Sub Measurement 6,Remark,Notas,Activo,Orden de trabajo,ID de usuario,Número de modelo,Nombre de la herramienta,Número de serie
31 dic 1969 21:01:30,1002,,1,,1,,Prueba de continuidad,N-PE,0.24 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:30,1002,,1,,1,,Prueba de continuidad,N-PE,0.23 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:30,1002,,1,,1,,Prueba de continuidad,L-PE,0.27 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:30,1002,,1,,1,,Prueba de continuidad,L-PE,0.27 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:30,1002,,1,,1,,Prueba de continuidad,L-N,0.35 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:29,1002,,1,,1,,Prueba de continuidad,L-N,0.33 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:29,1001,,1,,1,,Prueba de continuidad,N-PE,0.33 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:29,1001,,1,,1,,Prueba de continuidad,N-PE,0.32 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:29,1001,,1,,1,,Prueba de continuidad,L-PE,0.50 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:29,1001,,1,,1,,Prueba de continuidad,L-PE,0.53 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:29,1001,,1,,1,,Prueba de continuidad,L-N,0.46 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:29,1001,,1,,1,,Prueba de continuidad,L-N,0.47 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:29,2002,,1,,1,,Prueba de aislamiento,N-PE,> 500.0 Mohm,514 V DC,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:29,2002,,1,,1,,Prueba de aislamiento,L-PE,> 500.0 Mohm,520 V DC,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:29,2002,,1,,1,,Prueba de aislamiento,L-N,> 500.0 Mohm,520 V DC,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
,,,,,,,Prueba de aislamiento,N-PE,,,,,,,,,,,,,,,
31 dic 1969 21:01:29,2001,,1,,1,,Prueba de aislamiento,L-PE,> 500.0 Mohm,520 V DC,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:29,2001,,1,,1,,Prueba de aislamiento,L-N,> 500.0 Mohm,520 V DC,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:29,2001,,1,,1,,Prueba de aislamiento,N-PE,> 500.0 Mohm,514 V DC,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:29,2001,,1,,1,,Prueba de aislamiento,L-PE,> 500.0 Mohm,520 V DC,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:29,2001,,1,,1,,Prueba de aislamiento,L-N,> 500.0 Mohm,520 V DC,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:28,1,,2,,6,,Prueba de continuidad,N-PE,0.17 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:28,1,,2,,6,,Prueba de continuidad,N-PE,0.16 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:28,1,,2,,6,,Prueba de continuidad,L-PE,0.19 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:28,1,,2,,6,,Prueba de continuidad,L-PE,0.24 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:28,1,,2,,6,,Prueba de continuidad,L-N,0.15 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:28,1,,2,,6,,Prueba de continuidad,L-N,0.17 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:28,1,,2,,6,,Prueba de continuidad,N-PE,0.28 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:28,1,,2,,6,,Prueba de continuidad,N-PE,0.28 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:28,1,,2,,6,,Prueba de continuidad,L-PE,0.24 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:28,1,,2,,6,,Prueba de continuidad,L-PE,0.24 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:28,1,,2,,6,,Prueba de continuidad,L-N,0.26 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:28,1,,2,,6,,Prueba de continuidad,L-N,0.26 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:28,2,,2,,1,,Prueba de aislamiento,N-PE,> 500.0 Mohm,520 V DC,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:28,2,,2,,1,,Prueba de aislamiento,L-PE,> 500.0 Mohm,520 V DC,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:28,2,,2,,1,,Prueba de aislamiento,L-N,> 500.0 Mohm,520 V DC,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:28,1,,2,,5,,Prueba de continuidad,N-PE,0.36 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:28,1,,2,,5,,Prueba de continuidad,N-PE,0.36 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:28,1,,2,,5,,Prueba de continuidad,L-PE,0.33 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:28,1,,2,,5,,Prueba de continuidad,L-PE,0.33 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:28,1,,2,,5,,Prueba de continuidad,L-N,0.35 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:28,1,,2,,5,,Prueba de continuidad,L-N,0.35 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:28,1,,2,,5,,Prueba de continuidad,N-PE,0.30 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:28,1,,2,,5,,Prueba de continuidad,N-PE,0.30 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:28,1,,2,,5,,Prueba de continuidad,L-PE,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:28,1,,2,,5,,Prueba de continuidad,L-PE,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:28,1,,2,,5,,Prueba de continuidad,L-N,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:28,1,,2,,5,,Prueba de continuidad,L-N,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:28,2,,2,,1,,Prueba de aislamiento,N-PE,> 500.0 Mohm,520 V DC,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:28,2,,2,,1,,Prueba de aislamiento,L-PE,> 500.0 Mohm,520 V DC,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:28,2,,2,,1,,Prueba de aislamiento,L-N,> 500.0 Mohm,520 V DC,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:28,1,,2,,4,,Prueba de continuidad,N-PE,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:28,1,,2,,4,,Prueba de continuidad,N-PE,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:28,1,,2,,4,,Prueba de continuidad,L-PE,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:28,1,,2,,4,,Prueba de continuidad,L-PE,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:28,1,,2,,4,,Prueba de continuidad,L-N,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:27,1,,2,,4,,Prueba de continuidad,L-N,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:27,2,,2,,1,,Prueba de aislamiento,N-PE,> 500.0 Mohm,520 V DC,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:27,2,,2,,1,,Prueba de aislamiento,L-PE,> 500.0 Mohm,520 V DC,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:27,2,,2,,1,,Prueba de aislamiento,L-N,> 500.0 Mohm,520 V DC,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:27,2,,2,,3,,Prueba de continuidad,N-PE,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:27,2,,2,,3,,Prueba de continuidad,N-PE,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:27,2,,2,,3,,Prueba de continuidad,L-PE,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:27,2,,2,,3,,Prueba de continuidad,L-PE,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:27,2,,2,,3,,Prueba de continuidad,L-N,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:27,2,,2,,3,,Prueba de continuidad,L-N,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
,,,,,,,Prueba de aislamiento,N-PE,,,,,,,,,,,,,,,
31 dic 1969 21:01:27,2,,2,,1,,Prueba de aislamiento,L-PE,> 500.0 Mohm,520 V DC,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
