Fecha de captura,Level A,Description level A,Level B,Description level B,Level C,Description level C,Test Function,Configuración,Primary Measurement,Sub Measurement 1,Sub Measurement 2,Sub Measurement 3,Sub Measurement 4,Sub Measurement 5,Sub Measurement 6,Remark,Notas,Activo,Orden de trabajo,ID de usuario,Número de modelo,Nombre de la herramienta,Número de serie
6 dic 2024 10:45:05,3001,,1,,6,,Prueba de aislamiento,N-PE, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:44:53,3001,,1,,6,,Prueba de aislamiento,L-PE, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:44:26,3001,,1,,6,,Prueba de aislamiento,N-PE, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:43:52,3001,,1,,6,,Prueba de aislamiento,L-N, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:43:29,3001,,1,,6,,Prueba de aislamiento,L-N, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:43:08,3001,,1,,6,,Prueba de aislamiento,L-PE, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:42:59,3001,,1,,6,,Prueba de aislamiento,L-N, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:42:49,3001,,1,,6,,Prueba de aislamiento,L-N, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:42:31,3001,,1,,5,,Prueba de aislamiento,N-PE, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:42:21,3001,,1,,5,,Prueba de aislamiento,L-PE, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:42:02,3001,,1,,5,,Prueba de aislamiento,N-PE, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:41:51,3001,,1,,5,,Prueba de aislamiento,L-N, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:41:26,3001,,1,,5,,Prueba de aislamiento,L-N, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:41:03,3001,,1,,5,,Prueba de aislamiento,L-PE, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:40:52,3001,,1,,5,,Prueba de aislamiento,L-N, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:40:30,3001,,1,,5,,Prueba de aislamiento,L-N, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:39:39,3001,,1,,5,,Prueba de aislamiento,N-PE, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:39:22,3001,,1,,5,,Prueba de aislamiento,L-PE, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:38:55,3001,,1,,5,,Prueba de aislamiento,N-PE, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:38:43,3001,,1,,5,,Prueba de aislamiento,L-N, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:38:01,3001,,1,,5,,Prueba de aislamiento,L-N, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:37:35,3001,,1,,5,,Prueba de aislamiento,L-PE, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:37:26,3001,,1,,5,,Prueba de aislamiento,L-N, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:37:16,3001,,1,,5,,Prueba de aislamiento,L-N, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:36:27,3001,,1,,4,,Prueba de aislamiento,N-PE, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:36:03,3001,,1,,4,,Prueba de aislamiento,L-PE, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:35:45,3001,,1,,4,,Prueba de aislamiento,N-PE, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:35:30,3001,,1,,4,,Prueba de aislamiento,L-N, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:35:17,3001,,1,,4,,Prueba de aislamiento,L-N, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:34:34,3001,,1,,4,,Prueba de aislamiento,L-PE, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:34:24,3001,,1,,4,,Prueba de aislamiento,L-N, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:34:04,3001,,1,,4,,Prueba de aislamiento,L-N, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:33:29,3001,,1,,4,,Prueba de aislamiento,N-PE, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:33:17,3001,,1,,4,,Prueba de aislamiento,L-PE, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:33:00,3001,,1,,4,,Prueba de aislamiento,N-PE, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:32:44,3001,,1,,4,,Prueba de aislamiento,L-N, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:32:29,3001,,1,,4,,Prueba de aislamiento,L-N, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:31:57,3001,,1,,4,,Prueba de aislamiento,L-PE, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:31:48,3001,,1,,4,,Prueba de aislamiento,L-N, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:31:35,3001,,1,,4,,Prueba de aislamiento,L-N, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:31:11,3001,,1,,4,,Prueba de aislamiento,N-PE, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:30:49,3001,,1,,4,,Prueba de aislamiento,L-PE, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:30:26,3001,,1,,4,,Prueba de aislamiento,L-PE, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
6 dic 2024 10:30:17,3001,,1,,4,,Prueba de aislamiento,L-N, > 500.0 Mohm, 520 V DC,,,,,,,,No asignado,,cvc.17.06@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
